material_id,composition,wyckoff,thermo
c3925054eb95fafeb1b53274860772ed,Ag,A_hP2_164_d:Ag,0
57f0d659ff0ca1e372af77b989ec6cc3,Ag2CN2,A2BC2_oP20_57_ad_d_2d:Ag-C-N,0
2c4cee4ba45ea25a35e5a23b8d40f0f1,Ag2MoO4,A2BC4_oC14_35_c_a_de:Ag-Mo-O,2
cc869d604ac81c56826fba1d0fa4c637,Ag2MoS4,A2BC4_tP7_111_e_a_n:Ag-Mo-S,2
9c47c9809fbc98643d040847c4aeb34d,Ag2MoSe4,A2BC4_tP7_111_e_a_n:Ag-Mo-Se,2
b1e565a657fe18f261a20926589a96cb,Ag2Te4Mo,A2BC4_tP7_111_e_a_n:Ag-Mo-Te,2
d1bc6bae8eefda7f0fb591bc81e21376,Ag2Te4W,A2B4C_tP7_111_e_n_a:Ag-Te-W,2
a5935eeeab110ee57273df0b8adba887,Ag2WO4,A2B4C_oC14_35_c_de_a:Ag-O-W,2
e6cad532ed1b91e08e668448117c0db7,Ag2WS4,A2B4C_tP7_111_e_n_a:Ag-S-W,2
4c954436eae2b4c478be7a81ca8f46ae,Ag2WSe4,A2B4C_tP7_111_e_n_a:Ag-Se-W,2
336a2c76934133b4ff748f7fa0f10735,AgAuCl4,ABC4_mP12_13_e_a_2g:Ag-Au-Cl,2
e3b828dd8c44e6248579fccda0a4760b,AgBi(PSe3)2,ABC2D6_hP10_143_a_b_2c_2d:Ag-Bi-P-Se,2
c075575e501a5c251c2d422e8f4d0c6e,AgBr,AB_tP4_129_a_c:Ag-Br,2
b80ab00bbaab27ee7ebbf5a09c427167,AgBr,AB_hP4_164_d_d:Ag-Br,2
5054122257e300338a2d9620ba3a0b9e,AgBr2,AB2_mC6_12_a_i:Ag-Br,2
647a80b026cf98be8c5ffca99926811a,AgBr2,AB2_hP3_164_a_d:Ag-Br,2
9215c9b3ca2e90e22a40a80a14b442f7,AgBr2,AB2_hP3_187_a_h:Ag-Br,2
c654f5e19d134ebfbcf0f60459bad5a8,AgBr2,AB2_tP3_115_a_g:Ag-Br,2
afed429e5f5c321b85bbfdfed88f38ec,AgBr3,AB3_hP8_191_c_i:Ag-Br,2
cb31e2999288daeb10dc057d47da1b25,AgBr3,AB3_hP8_162_c_k:Ag-Br,2
e3c0d45565df2d3f2be427b3529de54d,AgBrN,ABC_oP6_59_b_a_a:Ag-Br-N,0
2f9fe4e1122bcf85427b93f0e5a032d8,AgBrO,ABC_oP6_59_b_a_a:Ag-Br-O,2
286edfbb31fd839320397c52b9f6209e,AgC4N3,AB4C3_oP16_31_a_2ab_ab:Ag-C-N,0
97d6f75e07034d42843fc151c78303c7,AgCl,AB_hP4_164_d_d:Ag-Cl,2
44415f9a6f7f0b3964dd81a5b0b12048,AgCl,AB_tP4_129_a_c:Ag-Cl,2
f50b8f3a1f78664c08b09909b28bfe61,AgCl2,AB2_hP3_187_a_h:Ag-Cl,2
27f5a57425b7983da26fe833a598e025,AgCl2,AB2_hP3_164_a_d:Ag-Cl,2
2b88ef7648ddd68fb1a2d53a9dc9d462,AgCl2,AB2_tP3_115_a_g:Ag-Cl,2
9c58059bd3d328e6228fe02791d382fa,AgCl3,AB3_hP8_162_c_k:Ag-Cl,2
fdbbe2fed2160d4424761ebdc4695b05,AgCl3,AB3_hP8_191_c_i:Ag-Cl,2
5d682bb5b6fe625b61285beb39e5d34b,AgClO,ABC_oP6_59_b_a_a:Ag-Cl-O,2
32348884bccd24cfc77094fa515bcd7e,AgF,AB_tP4_129_a_c:Ag-F,2
5ad4e0215411abc5e066124be44a050e,AgF,AB_aP4_1_2a_2a:Ag-F,2
d0ebf2a3a63e2ca9a01ff2a214ffada5,AgF2,AB2_mP6_14_a_e:Ag-F,2
dd21687bff0b6d2711fb463f4004dab9,AgF2,AB2_tP3_123_a_f:Ag-F,2
cdcb3332b80bcd56a68c2e8e3f718a0d,AgH2,AB2_hP3_187_a_h:Ag-H,0
4803790c3acf1b624bed75c410e9b25f,AgI,AB_hP4_164_d_d:Ag-I,2
6b80a5b2b421e1c331779f4364a8f4b3,AgI,AB_tP4_129_a_c:Ag-I,2
76aa359fc7757bc316ae38fa07046319,AgI2,AB2_tP3_115_a_g:Ag-I,2
b569e3a07bbc9e064ff9dc699ca16050,AgI2,AB2_hP3_187_a_h:Ag-I,2
9afa36eee19f3c7650577a4038fc76f8,AgI2,AB2_hP3_164_a_d:Ag-I,2
6b227485e905a72d3d893bd00d917866,AgI2,AB2_mC6_12_a_i:Ag-I,2
b85d1cedd2c49cd9ef8e328cf8a229f4,AgI3,AB3_hP8_191_c_i:Ag-I,2
7031347aa0aac519d88a84c4e7603cb7,AgI3,AB3_hP8_162_c_k:Ag-I,2
787aa77b6b776a4efce12fe364dca902,AgIN,ABC_oP6_59_b_a_a:Ag-I-N,0
c8535b659389536fabf6b340aa34d182,AgIO,ABC_oP6_59_b_a_a:Ag-I-O,2
f20e5fa8d4cfdd076711dc8e439d1836,AgNCl,ABC_oP6_59_b_a_a:Ag-Cl-N,0
f94b15cc1bd7cc392bce0cc4f729ba0b,AgO,AB_mP4_10_ae_m:Ag-O,2
d9c24519d4977274cff756948b66bf9b,AgO2,AB2_tP3_115_a_g:Ag-O,0
368c88eae2503a7767956d107943a6c2,AgPS3,ABC3_hP10_162_c_e_k:Ag-P-S,2
42a1c6abdce44dc86ee2a4459c989f04,AgPSe3,ABC3_hP10_162_c_e_k:Ag-P-Se,2
b8912159b5b35d2e5fcef4ba6406fa53,AgS,AB_hP4_164_d_d:Ag-S,0
333debdf07ce9cf8fe6942240a66f196,AgS,AB_mP4_10_ae_m:Ag-S,2
8f720599e99bb80c541d077026dc626f,AgS2,AB2_mP6_14_a_e:Ag-S,2
8bce26246bacf525954c5785f61db557,AgS2,AB2_tP3_115_a_g:Ag-S,0
211b5b88508d3c2734017fb215b51831,AgS2Br,ABC2_oP8_17_a_c_e:Ag-Br-S,2
73d6f6cd90b927f431072a53baec7bc5,AgS2Cl,ABC2_oP8_17_a_c_e:Ag-Cl-S,2
8a205b4643cfbe43f9c1ebfab96bf905,AgS2I,ABC2_oP8_17_a_c_e:Ag-I-S,2
7dcb19a3445dd79c0703697e67e70869,AgSBr,ABC_oP6_59_b_a_a:Ag-Br-S,2
aa430cc5cd96ab22ba7b0676017ea6f4,AgSCl,ABC_oP6_59_b_a_a:Ag-Cl-S,2
1062a8e06f2d159f59621eb1f5cdb1d8,AgSI,ABC_oP6_59_b_a_a:Ag-I-S,2
994e9f086e2bb25d2344318fc2d6fa4e,AgSe,AB_mP4_10_ae_m:Ag-Se,2
c992cdb9297c70b3ccc9eccd52a0af82,AgSe,AB_hP4_164_d_d:Ag-Se,2
5679623387f7ea24ce6353c7715b6105,AgSe2,AB2_mP6_14_a_e:Ag-Se,2
e25fda2e03b9731ce045e2b5e806c20d,AgSe2,AB2_tP3_115_a_g:Ag-Se,2
a82fa194cda556310b2640fcf66f4523,AgSe2Br,ABC2_mP8_4_a_a_2a:Ag-Br-Se,2
9f0114888750f596cb4ce4b096bc6d18,AgSe2Cl,ABC2_mP8_4_a_a_2a:Ag-Cl-Se,2
281cdc46c06e9a732b13f0cf185375ad,AgSe2I,ABC2_mP8_4_a_a_2a:Ag-I-Se,2
7b8bdb945670ba38d692f61f81fd92ab,AgSeBr,ABC_oP6_59_b_a_a:Ag-Br-Se,2
952f5164d24e429c5407bbd9dc5e6609,AgSeCl,ABC_oP6_59_b_a_a:Ag-Cl-Se,2
667452b7fada1f251af20f8a1af6047a,AgSeI,ABC_oP6_59_b_a_a:Ag-I-Se,2
8d9457962ab986ba0777dfc5fec5383d,AgSnF6,AB6C_aP8_2_a_3i_e:Ag-F-Sn,2
867df6af0cdab0a3b0a335a8117ee6a5,AgTe,AB_mP4_10_ae_m:Ag-Te,2
4a0f7e52d88970daf047e731b298a2d3,AgTe,AB_hP4_164_c_d:Ag-Te,0
dbf2a8179d10225896070627baa90dff,AgTe,AB_hP4_164_d_d:Ag-Te,2
520303d0888daafab2bd0cb0534b8efb,AgTe2,AB2_tP3_115_a_g:Ag-Te,2
6744fcb761022146b070dcccf1f7c2ce,AgTe2,AB2_mP6_14_a_e:Ag-Te,2
b4163514f4be4c419f2d9cbce5b08b2d,AgTe2Br,ABC2_mP8_4_a_a_2a:Ag-Br-Te,2
aaafccdc538e494ad1ff55f800e62a6b,AgTe2Cl,ABC2_mP8_4_a_a_2a:Ag-Cl-Te,2
e093a4133fedb2ffd11d05b07013e59d,AgTe2I,ABC2_mP8_4_a_a_2a:Ag-I-Te,2
7ca3f4f56f3a6d886faadff013585bcb,AgTe3P,ABC3_hP10_162_c_e_k:Ag-P-Te,2
1fe1a4af8cd4234f897bebcef2a8ad28,Al2FeS4,A2BC4_hP7_164_d_a_cd:Al-Fe-S,2
aa05e4ea410a9211de9448e684c6ac70,Al2Te3,A2B3_mP20_14_2e_3e:Al-Te,2
f758cd75cf50c839e393c390d05ec8dd,Al2ZnS4,A2B4C_hP7_156_ab_2abc_c:Al-S-Zn,2
7a34fd56f414ff787e12cb40ff668e33,AlAs,AB_hP2_187_a_c:Al-As,2
8f15007c88c1d2524e1ec13ecd50d012,AlB4,AB4_oP5_47_a_ij:Al-B,0
b9e9bdbf136bfb888e7d31beef4538d0,AlBr2,AB2_hP3_164_a_d:Al-Br,2
7faed90737cdffe619e90af741e052b2,AlBr3,AB3_hP8_189_c_i:Al-Br,2
2019dfb9021faf9230fa6b462dd9082e,AlBr3,AB3_hP8_162_c_k:Al-Br,2
470e712d8aae6a2f93ebf693e3536fb6,AlBrN,ABC_oP6_59_b_a_a:Al-Br-N,2
8d78e9f7dbd5b99fd5a29987dc4a7990,AlBrO,ABC_oP6_59_b_a_a:Al-Br-O,2
779168eefd1898ba9f1206e36286e81f,AlC,AB_hP2_187_a_c:Al-C,0
4798db54a55268b954e9fe1ffd58f686,AlCl2,AB2_hP3_187_a_h:Al-Cl,2
241866a74e1384b31f1ddc43cee3c6d1,AlCl2,AB2_hP3_164_a_d:Al-Cl,2
d04846c429e19b092c83dc72bcc0dc53,AlCl3,AB3_hP8_189_c_i:Al-Cl,2
aba33299b9a64991d740e89414c30f79,AlCl3,AB3_hP8_162_c_k:Al-Cl,2
6409a9a9c5c8b33ca868740407a516ef,AlClO,ABC_oP6_59_b_a_a:Al-Cl-O,2
517adc7e9ea4a590ec3f9d6aa5467b26,AlFeF5,AB5C_oP7_47_a_cim_b:Al-F-Fe,2
431fdffb97ebb05d698a011c3a09d4c2,AlI2,AB2_hP3_187_a_h:Al-I,2
